"KEGG_ID"	"ENTREZID"	"SYMBOL"	"PATHWAY"
"197"	"mmu00051"	"56421"	"Pfkp"	"Fructose and mannose metabolism"
"198"	"mmu00051"	"67861"	"Akr1b10"	"Fructose and mannose metabolism"
"199"	"mmu00051"	"69080"	"Gmppa"	"Fructose and mannose metabolism"
"200"	"mmu00051"	"75540"	"Fpgt"	"Fructose and mannose metabolism"
"201"	"mmu00052"	"103988"	"Gck"	"Galactose metabolism"
"202"	"mmu00052"	"11605"	"Gla"	"Galactose metabolism"
"203"	"mmu00052"	"11677"	"Akr1b3"	"Galactose metabolism"
"204"	"mmu00052"	"11997"	"Akr1b7"	"Galactose metabolism"
"205"	"mmu00052"	"12091"	"Glb1"	"Galactose metabolism"
"206"	"mmu00052"	"14187"	"Akr1b8"	"Galactose metabolism"
"207"	"mmu00052"	"14377"	"G6pc"	"Galactose metabolism"
"208"	"mmu00052"	"14378"	"G6pc2"	"Galactose metabolism"
"209"	"mmu00052"	"14387"	"Gaa"	"Galactose metabolism"
"210"	"mmu00052"	"14430"	"Galt"	"Galactose metabolism"
"211"	"mmu00052"	"14595"	"B4galt1"	"Galactose metabolism"
"212"	"mmu00052"	"14635"	"Galk1"	"Galactose metabolism"
"213"	"mmu00052"	"15275"	"Hk1"	"Galactose metabolism"
"214"	"mmu00052"	"15277"	"Hk2"	"Galactose metabolism"
"215"	"mmu00052"	"16770"	"Lalba"	"Galactose metabolism"
"216"	"mmu00052"	"18641"	"Pfkl"	"Galactose metabolism"
"217"	"mmu00052"	"18642"	"Pfkm"	"Galactose metabolism"
"218"	"mmu00052"	"212032"	"Hk3"	"Galactose metabolism"
"219"	"mmu00052"	"216019"	"Hkdc1"	"Galactose metabolism"
"220"	"mmu00052"	"216558"	"Ugp2"	"Galactose metabolism"
"221"	"mmu00052"	"226413"	"Lct"	"Galactose metabolism"
"222"	"mmu00052"	"232714"	"Mgam"	"Galactose metabolism"
"223"	"mmu00052"	"319625"	"Galm"	"Galactose metabolism"
"224"	"mmu00052"	"53418"	"B4galt2"	"Galactose metabolism"
"225"	"mmu00052"	"56421"	"Pfkp"	"Galactose metabolism"
"226"	"mmu00052"	"66681"	"Pgm1"	"Galactose metabolism"
"227"	"mmu00052"	"67861"	"Akr1b10"	"Galactose metabolism"
"228"	"mmu00052"	"68401"	"G6pc3"	"Galactose metabolism"
